epoch,train_loss,val_loss,loss_flow,loss_lpips,lpips_active
1,0.1970,,0.1436,,False
2,0.1256,,0.1235,,False
3,0.1195,,0.1143,,False
4,0.1144,,0.1240,,False
5,0.1133,,0.1426,,False
6,0.1106,,0.1079,,False
7,0.1102,,0.1123,,False
8,0.1103,,0.0957,,False
9,0.1105,,0.1221,,False
10,0.1087,0.1085,0.1021,,False
11,0.1068,,0.1221,,False
12,0.1069,,0.1177,,False
13,0.1073,,0.0889,,False
14,0.1053,,0.1108,,False
15,0.1041,,0.0869,,False
16,0.1296,,0.0859,0.1874,True
17,0.1283,,0.1216,0.1953,True
18,0.1257,,0.1108,0.2114,True
19,0.1259,,0.0879,0.1702,True
20,0.1244,0.1260,0.0962,0.2199,True
21,0.1240,,0.1060,0.2209,True
22,0.1237,,0.0859,0.2168,True
23,0.1222,,0.1025,0.2586,True
24,0.1225,,0.0791,0.2099,True
25,0.1195,,0.0986,0.2134,True
26,0.1199,,0.0879,0.1760,True
27,0.1197,,0.0869,0.2050,True
28,0.1177,,0.0703,0.1922,True
29,0.1177,,0.0796,0.1970,True
30,0.1160,0.1345,0.1299,0.1963,True
31,0.1142,,0.0913,0.2035,True
32,0.1139,,0.1045,0.1956,True
33,0.1135,,0.1167,0.2155,True
34,0.1102,,0.0986,0.2056,True
35,0.1079,,0.1113,0.1905,True
36,0.1085,,0.0801,0.1808,True
37,0.1073,,0.0613,0.1736,True
38,0.1061,,0.0815,0.1448,True
39,0.1049,,0.0781,0.1812,True
40,0.1048,0.1484,0.0771,0.1845,True
